attendance,endDate,eventID,name,roomNights,rooms,sqft,startDate,subDate,type,isBooked,baselinePrice,cost
4175,43358,18825,EY APM 2018,12500,"['Building A-B Registration Hall', ' Executive Boardroom', ' Exhibit Hall B1', ' Exhibit Hall B2', ' Exhibit Hall Meeting Room B101', ' Exhibit Hall Meeting Room B102', ' Exhibit Hall Meeting Room B103', ' Exhibit Hall Meeting Room C111', ' Exhibit Hall Meeting Room C112', ' Exhibit Hall Meeting Room C113', ' Exhibit Hall Meeting Room C114', ' Exhibit Halls B3-B5 Combined', ' Georgia Ballroom 1-3', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207-B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211-B212', ' Meeting Room B213-B214', ' Meeting Room B215', ' Meeting Room B216-217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302-B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308-B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312-B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401-B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405-B407', ' Meeting Room B406', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Meeting Room C301', ' Meeting Room C302', ' Thomas Murphy Ballroom 1-2', ' Thomas Murphy Ballroom 3-4']",6962307,43350,43235,CONF,1,,
100,43272,18851,Jeff's Retirement Party,1,['JA BizTown Courtyard'],0,43272,43216,PRTY,1,,
3200,43532,18877,DoTERRA,1300,"['Executive Boardroom', ' Exhibit Hall A1', ' Exhibit Hall A2', ' Exhibit Hall A3', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A404-A405', ' Meeting Room A411', ' Meeting Room A412', ' Sidney Marcus Auditorium', ' Sidney Marcus Auditorium Foyer', "" Sidney Marcus Auditorium Interpreter's Booth""]",1762099,43530,43243,CONF,1,,
1000,43589,19017,#AlphaDerby,150,"['Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Green Room']",27191,43589,43360,REC,1,,
500,43323,19045,Pulse Boxing Match,1,['Meeting Room A411-A412'],11291,43323,43290,GAM,1,,
415,43293,19050,Guardian Life Insurance,800,"['Meeting Room B403', ' Thomas Murphy Ballroom 1-3', ' Thomas Murphy Ballroom 1-4']",200650,43290,43272,MEET,1,,
4000,43239,19063,Banneker High School Graduation,1,"['Building C Connector Overlook', ' Exhibit Hall C2', ' Exhibit Hall C3', ' Hall C2 Show Office', ' Hall C3a Show Office', ' Hall C3b Show Office']",212723,43239,43241,GRAD,1,,
250,43388,19083,Levy Trainings,1,"['Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406-A407', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room C201', ' Meeting Room C203', ' Meeting Room C203-C204', ' Meeting Room C205', ' Meeting Room C209-C210', ' Meeting Room C211-C212']",67218,43354,43325,TRAI,1,,
500,43298,19106,Queen America,1,"['Building A-B Registration Hall', ' Exhibit Hall B1', ' International Blvd - GWCC', ' International Conference Room', ' Meeting Room A411-A412', ' Meeting Room B411', ' Red Deck', ' Sidney Marcus Auditorium', ' Sidney Marcus Auditorium Foyer', "" Sidney Marcus Auditorium Interpreter's Booth"", ' Sidney Marcus Auditorium Lounge', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4', ' Thomas Murphy Ballroom Galleria']",570537,43298,43272,FILM,1,,
50000,43446,19119,GHSA Finals - GWCC Budget,1,['Stadium'],0,43445,43440,GAM,1,,
1500,43533,19139,6th Annual Black Women in Jazz & Arts,500,"['Sidney Marcus Auditorium', ' Sidney Marcus Auditorium Foyer', "" Sidney Marcus Auditorium Interpreter's Booth"", ' Sidney Marcus Auditorium Lounge']",16435,43533,43315,AWC,1,,
11000,43541,19140,Publix Atlanta  Marathon,1,['All North Park'],0,43541,43341,SPORT,1,,
450,43337,19150,An Evening with Norman & Jeffrey,1,"['Sidney Marcus Auditorium', ' Sidney Marcus Auditorium Foyer', "" Sidney Marcus Auditorium Interpreter's Booth"", ' Sidney Marcus Auditorium Lounge']",16435,43337,43304,PUB,1,,
1200,43401,19156,Forced From Home Exhibition,1,['West Plaza'],528000,43394,43328,EXH,1,,
13000,43443,19159,Jurassic Quest,1,"['Exhibit Hall C3', ' Exhibit Hall C4', ' Hall C3a Show Office', ' Hall C4 Show Office', ' Meeting Room C201']",1001490,43441,43336,PUB,1,,
750,43349,19171,Student Ambassador Program,1,"['Blue Lot', ' Thomas Murphy Ballroom 2-3', ' Thomas Murphy Ballroom Dressing Room 1', ' Thomas Murphy Ballroom Dressing Room 2', ' Thomas Murphy Ballroom Dressing Room 3', ' Thomas Murphy Ballroom Dressing Room 4']",34316,43348,43325,MEET,1,,
606,43380,19197,Bushiroad Championship Series 2018,1,"['Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Green Room', ' Georgia Ballroom Mezzanine', ' Georgia Ballroom Patio', ' Meeting Room C301', ' Meeting Room C302']",89662,43379,43286,COMP,1,,
250,43298,19205,University of Florida Pep Rally,1,"['Exhibit Hall B3', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212']",128670,43298,43271,PRTY,1,,
25,43265,19234,Snickers,1,"['Exhibit Hall C1', ' Meeting Room C205', ' Meeting Room C206', ' Meeting Room C207', ' West Plaza']",157550,43265,43264,FILM,1,,
3000,43617,19238,Savannah College of Art and Design Graduation,1,"['Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Galleria', ' Georgia Ballroom Green Room', ' Meeting Room C202', ' Meeting Room C203', ' Meeting Room C204', ' Meeting Room C205', ' Meeting Room C206', ' Meeting Room C301', ' Meeting Room C302']",204660,43617,43306,GRAD,1,,
1200,43476,19271,Herzing University Commencement,1,"['Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Galleria', ' Georgia Ballroom Green Room', ' Georgia Ballroom Mezzanine', ' Georgia Ballroom Patio']",41368,43476,43308,GRAD,1,,
50000,43604,19276,Jehovah's Witnesses,27500,"['Blue Lot', ' Gold Deck', ' Red Deck', ' Silver Lot', ' Yellow Lot North']",0,43602,43462,P,1,,
25,43571,19308,Freeman/MRO AMERICA,1,['Marshalling Yard 2'],1728000,43561,43272,P,1,,
5500,43618,19313,The Ultimate Women's Expo,1,"['Exhibit Hall A1', ' Exhibit Hall A2', ' Exhibit Hall A3', ' Hall A3 Marshaling Yard', ' Marshalling Yard 2', ' Meeting Room A310']",1238850,43617,43503,PUB,1,,
25,43640,19318,Freeman - PRIMERICA,1,['Marshalling Yard 2'],1404000,43628,43272,P,1,,
125,43299,19351,MacGyver,1,"['Building A-B Registration Hall', ' Exhibit Hall B2', ' International Conference Room', ' Marshalling Yard 1', ' Upper International Blvd']",510265,43299,43297,FILM,1,,
2000,43479,19396,Trane Reception,1,['Georgia Ballroom 1-3'],25722,43479,43321,CONV,1,,
101,43579,19449,Georgia Technology Summit By Machaon,1,"['Meeting Room B302-B305', ' Meeting Room B306']",27830,43579,43353,MEET,1,,
700,43615,19465,Solar Energy Trade Show,475,"['Meeting Room A311-A312', ' Meeting Room A313-A314', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412']",109972,43613,43530,TS,1,,
1500,43414,19467,DeKalb County Employee of the Year Celebration,1,"['Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Galleria', ' Georgia Ballroom Green Room', ' Georgia Ballroom Mezzanine', ' Georgia Ballroom Patio', ' Meeting Room C301', ' Meeting Room C302']",72653,43413,43325,REC,1,,
13890,43631,20048,HOT 107.9 Birthday Bash Block Party,1,['Southern Company Amphitheater'],0,43631,43490,CON,1,,
400,43594,20067,SOUL SEMA CVOT Monitor & Investigator Meeting,2468,"['Meeting Room B311', ' Meeting Room B312-B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401-B402', ' Meeting Room B405-B407', ' Thomas Murphy Ballroom 1-4', ' Thomas Murphy Ballroom Galleria']",436080,43591,43474,MEET,1,,
